# Created at 2020-06-08 17:52 UTC by TPP v4.3, file format v1.1
# Station ID,Unique ID,Station code,X,Y,Z,Latitude,Longitude,Height,Antenna height [m],Name,Station name,Manufacturer,Receiver Name,Receiver Firmware Version,Receiver Serial Number
40,340,MC04,-1621264.012,-4715485.57,3965883.991,38.684159776,-108.973839901,1401.6941,0,TRM41249.00     NONE,Mesa County MC04,TRIMBLE,TRIMBLE ALLOY,Nav 5.43 / Boot 5.43,5946R40013
39,339,MC03,-1589891.702,-4688883.73,4009554.413,39.18994032,-108.730605649,1379.9854,0,TRM29659.00     NONE,Mesa County MC03,TRIMBLE,TRIMBLE ALLOY,Nav 5.43 / Boot 5.43,5948R40042
124,338,IDTF,-1949038.0889,-4281738.1368,4294036.9981,42.58013223,-114.474927122,1128.67,0,TRM55971.00     NONE,Idaho Twin Falls,TRIMBLE,TRIMBLE NETR5,Nav 4.41 / Boot 4.41,4933K63094
131,337,IDSS,-1727846.899,-4367636.5342,4303180.1955,42.686271045,-111.583863612,1817.977,0,TRM57971.00     NONE,Soda Springs,TRIMBLE,TRIMBLE NETR9,Nav 4.93 / Boot 4.93,5450R50138
201,336,IDPO,-1787003.9982,-4328787.3382,4317505.3154,42.865554278,-112.431746512,1380.057,0,TRM57971.00     NONE,Pocatello,TRIMBLE,TRIMBLE NETR9,Nav 4.85 / Boot 4.85,5342K46494
200,334,IDIF,-1739642.425,-4294543.159,4370449.433,43.518578311,-112.051986921,1438.6697,0,TRM55971.00     NONE,Idaho Falls,TRIMBLE,TRIMBLE NETR5,Nav 4.87 / Boot 4.87,4813K54811
136,333,IDBO,-2047876.944,-4148734.6952,4376777.3532,43.602473678,-116.27162938,817.9229,0,TRM55971.00     NONE,Boise Idaho,TRIMBLE,TRIMBLE NETR5,Nav 0.00 / Boot 3.80,4733K10348
125,332,IDBF,-1781024.313,-4303869.2268,4344586.5088,43.19915893,-112.480717753,1357.771,0,TRM55971.00     NONE,Idaho Blackfoot,TRIMBLE,TRIMBLE NETR5,Nav 4.87 / Boot 4.87,4733K10346
130,331,IDAB,-1814323.729,-4310192.5298,4324599.8839,42.953073789,-112.82807403,1338.759,0,TRM57971.00     NONE,Idaho Aberdeen,TRIMBLE,TRIMBLE NETR9,Nav 5.22 / Boot 5.22,5049K72124
61,330,CNC1,-1574541.118,-4627947.628,4085603.25,40.077102267,-108.789561912,1651.4226,0,TRM55971.00     NONE,Mesa County CNC1,TRIMBLE,TRIMBLE ALLOY,Nav 5.37 / Boot 5.37,5847R40023
103,329,AZPG,-1868673.0671155,-4752980.27704576,3810075.57837168,36.908664397,-111.462676761,1302.744,0,ADVNULLANTENNA  NONE,Page,LEICA,LEICA GR30,4.31,1706891
108,328,AZDS,-2143528.392,-4734336.139,3686666.251,35.533129508,-114.35921979,871.3888,0,ADVNULLANTENNA  NONE,Dolan Springs,LEICA,LEICA GRX1200+GNSS,9.20,495628
164,441,IDEM,-2053603.85359843,-4123315.34585591,4397777.02095254,43.864877803,-116.475451377,717.995,0,TRM55971.00     NONE,Emmett Idaho,TRIMBLE,TRIMBLE NETR9,Nav 4.81 / Boot 4.81,
